DATETIME,N_Cluster,ID_CLUS,LAT,LON,IND_X,IND_Y,T_RELATION,RAIN_FALL,DBz
2014-01-04 17:36:14,11,6,-3.7412858,-61.32432,87,46,SW,49.88753128051758,50.178172166300925
2014-01-04 17:36:14,11,7,-2.82559,-59.164547,138,166,NE,54.31154251098633,50.76857415562023
2014-01-04 17:36:14,11,8,-3.6700063,-60.78413,91,76,SW,34.159122467041016,47.546407241830735
2014-01-04 17:36:14,11,9,-3.9036431,-60.67629,78,82,SW,62.25717544555664,51.7173305682679
2014-01-04 17:36:14,11,10,-3.9397435,-60.370174,76,99,SW,25.72380828857422,45.575664184848826
2014-01-04 17:48:14,22,0,-4.0116215,-60.334187,72,101,SW,65.7935562133789,52.10123373458237
2014-01-04 17:48:14,22,1,-3.6152205,-61.54017,94,34,SW,52.08857727050781,50.478179883432134
2014-01-04 17:48:14,22,2,-3.8675992,-60.820316,80,74,SW,52.04677200317383,50.47260074496832
2014-01-04 17:48:14,22,3,-3.0942879,-61.521366,123,35,NW,41.85682678222656,48.95856077022642
2014-01-04 17:48:14,22,4,-3.9396346,-60.586273,76,87,SW,49.47813415527344,50.12091297756428
2014-01-04 17:48:14,22,5,-3.023416,-59.488243,127,148,NE,65.50328063964844,52.07050878167284
2014-01-04 17:48:14,22,6,-2.7896855,-59.20055,140,164,NE,55.73467254638672,50.94830721896021
2014-01-04 17:48:14,22,7,-2.951641,-59.74014,131,134,NE,88.09859466552734,54.1298036473961
2014-01-04 17:48:14,22,8,-3.1311333,-59.344246,121,156,NE,35.75129318237305,47.86296804557408
2014-01-04 17:48:14,22,9,-3.436757,-60.081993,104,115,SW,61.21989822387695,51.60058160881946
2014-01-04 17:48:14,22,10,-3.4533727,-61.6479,103,28,SW,31.532930374145508,46.990529266562845
2014-01-04 17:48:14,22,11,-3.5253723,-61.55802,99,33,SW,42.411102294921875,49.049972920335954
2014-01-04 17:48:14,22,12,-3.9575145,-60.712345,75,80,SW,32.79661178588867,47.26356362251507
2014-01-04 17:48:14,22,13,-3.9756448,-60.442226,74,95,SW,36.39692687988281,47.98733541570529
2014-01-04 17:48:14,22,14,-2.7536702,-59.092655,142,170,NE,35.24311447143555,47.76348844464411
2014-01-04 17:48:14,22,15,-3.1492925,-60.117954,120,113,SW,67.11952209472656,52.23988164564091
2014-01-04 17:48:14,22,16,-4.0287457,-61.30674,71,47,SW,25.17774772644043,45.42657000029828
2014-01-04 17:48:14,22,17,-2.7715244,-58.96673,141,177,NE,23.139108657836914,44.83984596415535
2014-01-04 17:48:14,22,18,-2.9516695,-59.93803,131,123,NE,34.094520568847656,47.53325336225518
2014-01-04 17:48:14,22,19,-3.6519804,-60.85613,92,72,SW,31.898365020751953,47.070594732244324
2014-01-04 17:48:14,22,20,-3.79513,-61.360413,84,44,SW,24.544612884521484,45.249598946007524
2014-01-04 17:48:14,22,21,-4.2091866,-60.478374,61,93,SW,40.655277252197266,48.75617079055345
2014-01-04 18:00:14,16,0,-4.011608,-60.370205,72,99,SW,42.28482437133789,49.02925245428502
2014-01-04 18:00:14,16,1,-3.0234325,-59.524227,127,146,NE,71.17378234863281,52.64742069119517
2014-01-04 18:00:14,16,2,-2.8076892,-59.2545,139,161,NE,76.84013366699219,53.179709743292555
2014-01-04 18:00:14,16,3,-2.9875937,-59.848076,129,128,NE,110.49115753173828,55.70354033057673
2014-01-04 18:00:14,16,4,-3.4893005,-61.64796,101,28,SW,34.08094787597656,47.530486597807695
2014-01-04 18:00:14,16,5,-3.418789,-60.09999,105,114,SW,115.41262817382812,56.00635325077526
2014-01-04 18:00:14,16,6,-3.669027,-61.594265,91,31,SW,31.324861526489258,46.944526514151725
2014-01-04 18:00:14,16,7,-3.9034991,-60.856365,78,72,SW,57.71235656738281,51.19060088796349
2014-01-04 18:00:14,16,8,-4.01134,-60.80244,72,75,SW,60.931339263916016,51.56775154020397
2014-01-04 18:00:14,16,9,-4.173254,-60.478355,63,93,SW,40.9687385559082,48.80954142952942
2014-01-04 18:00:14,16,10,-3.149121,-59.380222,120,154,SE,29.27824592590332,46.475020826559174
2014-01-04 18:00:14,16,11,-3.0414898,-60.153927,126,111,NW,48.36209487915039,49.96238163240412
2014-01-04 18:00:14,16,12,-3.1492925,-60.117954,120,113,SW,29.549306869506836,46.539056727883974
2014-01-04 18:00:14,16,13,-3.508613,-59.83,100,129,SE,69.69869995117188,52.501894797186935
2014-01-04 18:00:14,16,14,-3.7957053,-60.856262,84,72,SW,27.03958511352539,45.92230033503098
2014-01-04 18:00:14,16,15,-1.4603372,-60.567024,214,88,NW,22.00237464904785,44.489812843484984
2014-01-04 18:12:14,10,0,-4.1912007,-60.514393,62,91,SW,83.8113784790039,53.78314769628698
2014-01-04 18:12:14,10,1,-2.915628,-59.506283,133,147,NE,119.03279876708984,56.220966278202525
2014-01-04 18:12:14,10,2,-2.9516668,-59.90205,131,125,NE,52.770259857177734,50.56852768117643
2014-01-04 18:12:14,10,3,-2.8256905,-59.308453,138,158,NE,67.81072235107422,52.31107388794661
2014-01-04 18:12:14,10,4,-3.0593944,-59.596176,125,142,NE,85.00469970703125,53.88138695638033
2014-01-04 18:12:14,10,5,-3.7417426,-60.928226,87,68,SW,57.6495475769043,51.18303441072784
2014-01-04 18:12:14,10,6,-4.0292583,-60.856487,71,72,SW,44.61250305175781,49.40160540739208
2014-01-04 18:12:14,10,7,-3.436748,-60.153988,104,111,SW,39.18946075439453,48.50100855891785
2014-01-04 18:12:14,10,8,-4.082511,-61.396877,68,42,SW,24.461833953857422,45.22612417854098
2014-01-04 18:12:14,10,9,-4.0115933,-60.406223,72,97,SW,32.39070510864258,47.17702639196388
2014-01-04 18:24:13,10,0,-3.0234969,-59.70414,127,136,NE,111.62504577636719,55.77448635658648
2014-01-04 18:24:13,10,1,-4.2270904,-60.58647,60,87,SW,57.17985916137695,51.12618925777282
2014-01-04 18:24:13,10,2,-2.8616655,-59.380386,136,154,NE,131.60504150390625,56.91866038027087
2014-01-04 18:24:13,10,3,-3.8135872,-60.94631,83,67,SW,46.046966552734375,49.62151636226405
2014-01-04 18:24:13,10,4,-4.47859,-60.622692,46,85,SW,73.76764678955078,52.89615482948485
2014-01-04 18:24:13,10,5,-3.005566,-59.902046,128,125,NE,32.977394104003906,47.3017613073683
2014-01-04 18:24:13,10,6,-2.8076768,-59.236515,139,162,NE,62.39495086669922,51.732691109647824
2014-01-04 18:24:13,10,7,-4.065385,-60.60437,69,86,SW,32.14744186401367,47.12464267035514
2014-01-04 18:24:13,10,8,-3.5086236,-59.920002,100,124,SE,22.146678924560547,44.53523770761602
2014-01-04 18:24:13,10,9,-4.0471735,-60.910534,70,69,SW,42.592185974121094,49.079578838208946
2014-01-04 18:36:13,9,0,-2.969593,-59.686165,130,137,NE,92.76220703125,54.48823712426933
2014-01-04 18:36:13,9,1,-2.7718554,-59.41641,141,152,NE,98.76640319824219,54.92404776850598
2014-01-04 18:36:13,9,2,-3.50859,-60.262,100,105,SW,71.44781494140625,52.6741231803818
2014-01-04 18:36:13,9,3,-3.5625236,-59.937996,97,123,SE,70.24292755126953,52.55594161413991
2014-01-04 18:36:13,9,4,-4.1192336,-60.676456,66,82,SW,26.467592239379883,45.77373092092202
2014-01-04 18:36:13,9,5,-2.9876032,-59.97401,129,121,NE,47.07373046875,49.77475781840749
2014-01-04 18:36:13,9,6,-3.9033597,-61.000423,78,64,SW,22.750890731811523,44.722274430437835
2014-01-04 18:36:13,9,7,-4.4246397,-60.69472,49,81,SW,38.64224624633789,48.40329777595353
2014-01-04 18:36:13,9,8,-2.9153602,-59.09252,133,170,NE,27.678871154785156,46.08467394119262
2014-01-04 18:48:13,11,0,-2.8257976,-59.50632,138,147,NE,164.85186767578125,58.483801905614754
